Job Classification,Age (bin),Balance (bin),Gender,Region,Age,Balance
Blue Collar,33,55K,Female,England,33,58033.89
White Collar,44,35K,Male,England,44,35831.2
Other,39,0K,Male,England,39,1879.85
White Collar,47,20K,Male,England,47,23375.57
White Collar,35,0K,Female,England,35,4586.23
Other,47,20K,Female,England,47,20336.8
White Collar,47,20K,Male,England,47,22414.93
White Collar,39,40K,Female,England,39,40305.24
Other,50,15K,Female,Scotland,50,18091.36
Blue Collar,43,20K,Male,Scotland,43,20076.8
Blue Collar,47,5K,Male,Scotland,47,5300.47
Blue Collar,61,5K,Male,Scotland,61,7162.43
Blue Collar,53,35K,Male,Scotland,53,35751.37
Other,45,15K,Male,Scotland,45,15013.76
Blue Collar,49,70K,Male,Scotland,49,70041.44
Other,51,35K,Female,Scotland,51,35937.38
White Collar,36,40K,Female,Wales,36,41442.1
Other,45,35K,Male,Wales,45,36696.92
White Collar,30,0K,Female,Northern Ireland,30,21.03
Blue Collar,44,55K,Male,Scotland,44,58237.65
White Collar,38,25K,Male,England,38,28509.46
Other,36,35K,Female,England,36,38715.45
Blue Collar,23,5K,Female,Wales,23,7370.52
White Collar,34,0K,Male,England,34,245.46
White Collar,36,55K,Female,England,36,59935.75
White Collar,20,10K,Male,England,20,11624.36
Blue Collar,31,5K,Male,England,31,9346.66
White Collar,42,40K,Male,England,42,43770.37
White Collar,38,60K,Female,England,38,63642.19
White Collar,39,20K,Male,England,39,22831.08
Other,41,0K,Male,England,41,4846.57
White Collar,24,70K,Female,England,24,71571.52
White Collar,24,40K,Female,England,24,42409.89
White Collar,35,0K,Female,England,35,4194.57
White Collar,35,75K,Male,England,35,75613.68
White Collar,26,25K,Female,England,26,28587.08
White Collar,23,10K,Male,England,23,14699.05
Other,38,40K,Female,England,38,44034.26
White Collar,30,55K,Female,England,30,55046.35
White Collar,28,65K,Male,England,28,67479.01
Blue Collar,38,60K,Female,England,38,61890.85
White Collar,36,0K,Female,England,36,1430.6
Blue Collar,40,5K,Male,Scotland,40,5456.86
Other,56,10K,Female,Scotland,56,13251.27
Blue Collar,51,115K,Male,Scotland,51,119014.87
White Collar,44,15K,Female,Scotland,44,18829.79
White Collar,55,35K,Female,Scotland,55,35939.04
Other,57,20K,Female,Scotland,57,22686
White Collar,48,85K,Male,Scotland,48,85108.08
Other,54,40K,Female,Scotland,54,44973.03
Blue Collar,36,10K,Male,Scotland,36,12616.44
Blue Collar,48,20K,Male,Scotland,48,23910.87
Other,63,70K,Male,Scotland,63,73461.71
Blue Collar,63,25K,Male,Scotland,63,26474.23
Other,25,70K,Female,Wales,25,70799.64
White Collar,26,20K,Male,Wales,26,20627.65
White Collar,29,80K,Male,Northern Ireland,29,82229.52
Other,18,50K,Female,Northern Ireland,18,51171.29
Blue Collar,43,35K,Female,Northern Ireland,43,37889.38
Other,36,20K,Female,England,36,21806.3
Other,40,10K,Female,England,40,12415.5
Other,52,65K,Male,Scotland,52,67682.92
White Collar,18,30K,Female,England,18,33524.41
White Collar,31,135K,Female,England,31,136370.38
White Collar,37,35K,Male,England,37,39159.35
Other,25,0K,Male,England,25,3738.1
White Collar,50,40K,Male,England,50,43234.21
Other,39,110K,Male,England,39,111149.47
White Collar,27,10K,Male,England,27,12312.49
White Collar,42,55K,Male,England,42,55661.5
White Collar,27,10K,Female,England,27,10481.48
White Collar,41,0K,Female,England,41,4347.79
White Collar,47,15K,Male,England,47,15093.04
White Collar,27,25K,Female,England,27,27738.77
White Collar,41,25K,Female,England,41,27557.08
Blue Collar,20,5K,Male,England,20,9578.65
White Collar,38,40K,Female,England,38,40456.97
Blue Collar,34,40K,Male,England,34,44744.24
White Collar,42,55K,Male,England,42,56652.56
White Collar,26,10K,Male,England,26,12994.18
White Collar,43,40K,Female,England,43,42207.46
White Collar,37,10K,Male,England,37,10704.25
White Collar,40,55K,Female,England,40,57140.07
Blue Collar,57,40K,Male,Scotland,57,40510.36
White Collar,45,35K,Female,England,45,36584.21
White Collar,23,10K,Male,England,23,10249.56
Other,45,40K,Male,England,45,40379.31
White Collar,26,0K,Male,England,26,4539.24
White Collar,37,85K,Male,England,37,89120.92
White Collar,41,50K,Male,England,41,51707.8
White Collar,33,0K,Male,England,33,4940.82
White Collar,37,45K,Female,England,37,48405.93
White Collar,33,30K,Male,England,33,32467.1
White Collar,29,0K,Female,England,29,4020.51
White Collar,33,5K,Male,England,33,5160.27
White Collar,32,50K,Male,England,32,51576.88
White Collar,36,55K,Female,England,36,57019.91
White Collar,46,55K,Male,England,46,57365.32
Blue Collar,33,0K,Male,England,33,1455.6
Other,24,35K,Male,England,24,36256.2
White Collar,32,20K,Male,England,32,24927.39
White Collar,26,0K,Male,England,26,1009.69
White Collar,30,20K,Male,England,30,21871.43
White Collar,38,5K,Male,England,38,7602.94
White Collar,42,0K,Female,England,42,2337
Other,36,60K,Female,England,36,61541.83
White Collar,39,0K,Female,England,39,4120.66
Other,59,65K,Female,Scotland,59,67524.87
Blue Collar,52,0K,Male,Scotland,52,4371.98
Blue Collar,51,10K,Male,Scotland,51,10229.63
Blue Collar,24,15K,Male,Wales,24,19064.65
White Collar,30,30K,Female,Wales,30,30846.82
Blue Collar,39,70K,Male,England,39,71396.66
Other,32,0K,Female,England,32,3290.79
White Collar,38,10K,Male,England,38,13181.22
Blue Collar,42,60K,Male,England,42,62923.29
White Collar,26,90K,Female,England,26,93353.93
White Collar,31,45K,Female,England,31,46078.71
White Collar,31,15K,Male,England,31,15986.62
White Collar,25,25K,Female,England,25,27384.85
White Collar,35,70K,Male,England,35,70349.32
Blue Collar,33,60K,Male,England,33,60748.04
Blue Collar,24,50K,Male,England,24,52862.29
Blue Collar,29,20K,Male,Northern Ireland,29,20516.51
White Collar,32,95K,Female,England,32,99806.54
White Collar,36,20K,Male,England,36,21236.23
White Collar,31,115K,Male,England,31,115312.87
Other,33,80K,Male,England,33,80564.87
Other,40,20K,Male,England,40,21351.4
Other,51,55K,Female,Scotland,51,58953.83
White Collar,46,40K,Female,England,46,40685.39
White Collar,29,20K,Female,England,29,22659.88
White Collar,40,5K,Female,England,40,9431.04
Other,25,55K,Female,England,25,58714.66
Blue Collar,51,0K,Male,Scotland,51,1239.6
White Collar,39,45K,Male,England,39,48396.17
Other,44,10K,Female,England,44,12283.3
White Collar,40,25K,Male,England,40,29331.41
White Collar,35,15K,Female,England,35,16390.11
White Collar,32,85K,Female,England,32,87203.66
Blue Collar,38,0K,Male,England,38,3141.6
White Collar,29,0K,Male,England,29,2299.26
Blue Collar,31,40K,Female,England,31,44162.06
White Collar,47,90K,Female,England,47,90868.86
Other,34,35K,Male,England,34,37985.15
White Collar,37,50K,Female,England,37,54630.38
White Collar,40,60K,Female,England,40,60648.52
White Collar,26,15K,Female,England,26,18894.19
Blue Collar,25,75K,Female,England,25,79603.36
White Collar,36,105K,Female,England,36,109026.81
White Collar,41,70K,Male,England,41,73998.37
White Collar,39,0K,Male,England,39,3734.24
Blue Collar,39,20K,Male,England,39,23322.33
Blue Collar,44,60K,Male,Scotland,44,64482.16
White Collar,39,50K,Male,England,39,52505.16
White Collar,34,15K,Male,England,34,16569.82
Blue Collar,29,20K,Female,England,29,21065.22
Other,21,10K,Female,England,21,13487.9
Blue Collar,39,30K,Male,England,39,34338.84
White Collar,38,45K,Male,England,38,48146.54
White Collar,28,25K,Female,England,28,27008.87
White Collar,29,25K,Female,England,29,29907.72
White Collar,25,30K,Male,England,25,31660.86
Other,38,30K,Female,England,38,33509.17
Blue Collar,45,0K,Female,England,45,2575.63
White Collar,33,0K,Female,England,33,4072.58
White Collar,32,15K,Male,England,32,15375.41
White Collar,43,15K,Male,England,43,18103.72
White Collar,31,60K,Male,England,31,63230.57
White Collar,40,5K,Male,England,40,9875.43
Other,29,105K,Male,England,29,106172.13
White Collar,37,0K,Female,England,37,4611.5
White Collar,36,40K,Female,England,36,42635.27
White Collar,42,50K,Male,England,42,51923.76
White Collar,45,35K,Female,England,45,39249.25
Blue Collar,41,55K,Male,England,41,57762.79
White Collar,42,60K,Male,England,42,63869.71
White Collar,42,10K,Male,England,42,10199.66
White Collar,40,45K,Female,England,40,47518.92
White Collar,43,25K,Female,England,43,25542.15
White Collar,43,20K,Female,England,43,23887.45
Other,27,35K,Female,Wales,27,39264.03
White Collar,35,10K,Female,England,35,11880.47
White Collar,32,50K,Male,England,32,50658.95
White Collar,43,10K,Male,England,43,14946.79
Blue Collar,34,55K,Female,England,34,57148.41
Blue Collar,47,115K,Male,England,47,116144.95
White Collar,39,45K,Male,England,39,45135.16
White Collar,31,5K,Male,England,31,9867.56
White Collar,30,0K,Male,England,30,4442.71
White Collar,33,10K,Female,England,33,14380.27
White Collar,37,0K,Male,England,37,4263.53
White Collar,43,30K,Male,England,43,32667.33
Blue Collar,30,10K,Female,England,30,13407.54
White Collar,33,55K,Female,England,33,57127.03
White Collar,30,70K,Male,England,30,74588.31
White Collar,29,40K,Female,England,29,41237.66
White Collar,34,20K,Male,England,34,20276.52
Blue Collar,36,20K,Female,England,36,20379
Blue Collar,46,25K,Male,Scotland,46,29487.25
Blue Collar,36,75K,Male,Scotland,36,79483.58
Other,54,0K,Male,Scotland,54,2112.92
Other,50,15K,Female,Scotland,50,18160.49
Blue Collar,45,25K,Male,Scotland,45,26059.74
Blue Collar,47,15K,Male,Scotland,47,19177.31
Other,59,20K,Female,Scotland,59,23550.89
Other,41,85K,Female,Scotland,41,87758.52
Other,48,10K,Female,Scotland,48,10577.52
Blue Collar,52,45K,Male,Scotland,52,45213.63
Other,28,10K,Female,Scotland,28,13162.58
Other,55,35K,Male,Scotland,55,36993.45
Blue Collar,28,65K,Male,Wales,28,67180.28
Other,42,40K,Female,Wales,42,44094.63
Other,63,25K,Female,Wales,63,27020.99
White Collar,30,25K,Male,Wales,30,28912.8
White Collar,25,45K,Female,Northern Ireland,25,48997.63
White Collar,41,40K,Male,England,41,41250.67
Other,34,110K,Female,England,34,111818.28
White Collar,42,10K,Male,England,42,10114.95
Blue Collar,30,10K,Male,England,30,14034.12
White Collar,37,55K,Female,England,37,57574.38
Blue Collar,30,70K,Female,England,30,71596.18
White Collar,42,30K,Male,England,42,32187.62
Other,31,0K,Female,England,31,717.13
Blue Collar,37,100K,Male,England,37,103875.81
White Collar,29,70K,Female,England,29,70403.65
White Collar,34,10K,Female,England,34,12559.26
White Collar,30,5K,Female,England,30,7136.47
White Collar,34,50K,Male,England,34,51792.13
Other,31,95K,Female,England,31,96203.49
White Collar,41,60K,Male,England,41,64731.46
White Collar,37,35K,Male,England,37,37857
White Collar,32,50K,Female,England,32,51470.09
White Collar,40,70K,Male,England,40,70357.61
White Collar,21,5K,Female,England,21,5470.79
White Collar,40,25K,Female,England,40,25248.37
Other,45,65K,Male,England,45,65116.98
Other,27,20K,Male,England,27,23668.42
Blue Collar,45,15K,Male,Scotland,45,16423.75
White Collar,31,50K,Female,England,31,50533.23
White Collar,33,0K,Female,England,33,152.91
White Collar,26,10K,Female,England,26,14758.38
White Collar,40,10K,Female,England,40,14730.54
Blue Collar,53,60K,Male,Scotland,53,64309.53
Blue Collar,41,95K,Male,Scotland,41,99190.79
Blue Collar,30,10K,Male,Wales,30,13597.9
Blue Collar,42,120K,Male,England,42,122903.78
White Collar,42,30K,Female,England,42,30474.69
White Collar,29,5K,Male,England,29,8802.24
White Collar,32,60K,Male,England,32,60487.89
Blue Collar,33,0K,Male,England,33,2457.4
White Collar,43,30K,Male,England,43,33311.31
White Collar,30,20K,Male,England,30,21296.27
White Collar,33,60K,Female,England,33,60876.78
Blue Collar,30,25K,Male,England,30,26572.16
Blue Collar,45,20K,Male,England,45,21150.98
White Collar,40,65K,Female,England,40,65947.69
White Collar,31,85K,Female,England,31,86849.17
Other,27,5K,Male,England,27,7336.33
White Collar,37,5K,Female,England,37,5611.36
White Collar,35,40K,Male,England,35,43790.83
Blue Collar,43,0K,Female,England,43,1537.23
White Collar,30,20K,Male,England,30,23015.54
White Collar,34,40K,Male,England,34,42984.36
Blue Collar,43,65K,Male,England,43,67809.29
Other,30,35K,Female,England,30,35117.34
White Collar,21,45K,Female,England,21,45045.19
White Collar,54,30K,Male,England,54,33113.21
Other,35,40K,Male,England,35,41080.73
White Collar,42,70K,Female,England,42,71637.04
Other,40,5K,Male,England,40,7463.59
White Collar,34,0K,Female,England,34,2016.84
White Collar,37,10K,Female,England,37,12405.07
White Collar,31,15K,Female,England,31,19933.38
White Collar,44,50K,Male,England,44,50015.54
White Collar,34,20K,Female,England,34,24709.89
Blue Collar,54,15K,Male,Scotland,54,15859.07
White Collar,33,40K,Female,England,33,41128.52
Blue Collar,42,5K,Female,England,42,7583.72
White Collar,36,25K,Female,England,36,25132.97
White Collar,22,70K,Female,England,22,70526.58
White Collar,42,30K,Male,England,42,31273.66
Other,58,30K,Female,Scotland,58,33008.01
White Collar,20,0K,Female,Wales,20,1488.04
White Collar,29,0K,Female,England,29,4507.91
White Collar,38,15K,Male,England,38,18433.59
White Collar,33,30K,Male,England,33,30907.61
White Collar,35,55K,Female,England,35,58807.73
White Collar,36,10K,Male,England,36,10174.7
White Collar,31,20K,Male,England,31,20570.41
Other,56,70K,Male,Scotland,56,70950.09
Other,51,25K,Male,Scotland,51,27842.09
Blue Collar,55,60K,Male,Scotland,55,60036.51
Blue Collar,61,30K,Male,Scotland,61,31920.69
Blue Collar,38,45K,Male,Wales,38,48457.2
White Collar,51,90K,Male,Scotland,51,90573.15
Blue Collar,58,5K,Male,Scotland,58,6416.8
Other,42,10K,Male,Scotland,42,13414.22
Blue Collar,46,10K,Male,Scotland,46,10950.36
Blue Collar,42,15K,Male,Scotland,42,17740.51
Other,27,15K,Female,Wales,27,18106.22
Blue Collar,28,5K,Male,Wales,28,6729.3
Other,17,65K,Female,Northern Ireland,17,65798.4
White Collar,44,5K,Female,England,44,8118.3
Blue Collar,45,65K,Male,Scotland,45,68256.88
White Collar,52,105K,Male,Scotland,52,107185.54
Blue Collar,45,20K,Male,Scotland,45,24064.3
White Collar,34,5K,Female,Wales,34,5654.34
Other,28,65K,Female,Wales,28,65204.55
White Collar,35,15K,Female,Wales,35,17495.5
White Collar,32,15K,Female,Wales,32,18897.91
Other,31,60K,Female,Northern Ireland,31,62299.63
White Collar,38,40K,Female,England,38,40010.06
Other,62,50K,Male,Scotland,62,53342.1
Other,44,5K,Male,Scotland,44,6288.73
Blue Collar,54,20K,Male,Scotland,54,20205.92
Blue Collar,39,15K,Male,Scotland,39,16549.43
Blue Collar,19,90K,Male,Wales,19,94786.37
Other,44,45K,Female,Wales,44,47772.44
Other,28,40K,Female,Northern Ireland,28,44349.72
Other,49,5K,Female,England,49,9119.52
White Collar,18,0K,Male,England,18,311.26
Other,38,15K,Female,England,38,19744.49
White Collar,39,45K,Male,England,39,48712.33
White Collar,41,10K,Female,England,41,13162.58
Other,45,50K,Male,England,45,53204.35
White Collar,32,65K,Female,England,32,67428.15
Other,42,10K,Female,Scotland,42,12088.72
Blue Collar,41,25K,Male,Scotland,41,28710.54
Other,51,35K,Male,Scotland,51,36923.01
Blue Collar,56,40K,Male,Scotland,56,40540.01
Blue Collar,58,20K,Male,Scotland,58,23001.06
Blue Collar,38,10K,Male,Scotland,38,11418.92
Blue Collar,46,15K,Male,Scotland,46,16431.17
Blue Collar,61,55K,Male,Scotland,61,56557.11
Other,44,25K,Female,Wales,44,25290.08
Other,34,105K,Female,Wales,34,109225.68
Blue Collar,42,40K,Female,Wales,42,41572.1
Other,32,0K,Male,Wales,32,4820.58
Blue Collar,32,20K,Female,Northern Ireland,32,23059.56
Other,36,60K,Female,Northern Ireland,36,61911.69
Other,37,35K,Female,Northern Ireland,37,36603.02
Other,23,20K,Female,Northern Ireland,23,20060.1
White Collar,35,0K,Male,England,35,2423.46
White Collar,41,50K,Male,England,41,51459.45
White Collar,32,10K,Female,England,32,13621.48
White Collar,39,80K,Female,England,39,84925.13
White Collar,38,120K,Male,England,38,120732.35
White Collar,36,20K,Male,England,36,23722.37
Blue Collar,39,35K,Male,Scotland,39,39343.24
Other,48,20K,Male,Scotland,48,23703.79
Blue Collar,55,25K,Male,Scotland,55,26811.22
Other,45,15K,Male,Wales,45,19287.92
White Collar,32,50K,Male,Wales,32,50621.67
White Collar,38,95K,Male,Wales,38,97120.48
White Collar,18,5K,Male,England,18,6507.7
Blue Collar,24,35K,Male,England,24,38590.44
Other,45,5K,Male,Scotland,45,8313.86
Blue Collar,45,35K,Male,Scotland,45,35076.06
Blue Collar,46,60K,Male,Scotland,46,64383.55
Blue Collar,37,30K,Male,Scotland,37,31821.23
White Collar,44,5K,Male,Wales,44,9667.85
Other,25,0K,Female,Northern Ireland,25,1905.46
White Collar,32,0K,Female,England,32,4285.6
Other,30,5K,Female,England,30,5357.39
White Collar,35,5K,Male,England,35,8245.73
White Collar,27,60K,Female,England,27,60406.61
Blue Collar,53,65K,Male,Scotland,53,67540.82
Other,45,30K,Male,Scotland,45,34870.84
Blue Collar,55,40K,Male,Scotland,55,40918.44
White Collar,24,65K,Male,Wales,24,65526.26
White Collar,49,20K,Female,Wales,49,20738.67
Other,37,30K,Male,Wales,37,34401.95
White Collar,26,20K,Female,Wales,26,20774.79
White Collar,29,0K,Female,Northern Ireland,29,743.29
Other,29,0K,Female,Northern Ireland,29,4287.78
White Collar,27,20K,Female,Northern Ireland,27,23871.79
Other,27,0K,Female,Northern Ireland,27,2437.23
White Collar,35,15K,Male,England,35,15042.08
Other,24,75K,Female,England,24,77908.67
Blue Collar,31,5K,Male,England,31,6459.02
White Collar,60,0K,Male,Scotland,60,1860.46
Blue Collar,26,0K,Male,Wales,26,3209.28
White Collar,23,30K,Female,Wales,23,32658.92
Blue Collar,21,60K,Female,Northern Ireland,21,60338.07
Other,33,70K,Female,Northern Ireland,33,72810.9
White Collar,27,105K,Male,England,27,107287.71
Blue Collar,41,15K,Female,England,41,18907.19
White Collar,43,40K,Female,England,43,44996.7
White Collar,37,65K,Male,England,37,66791.82
Blue Collar,33,75K,Male,Scotland,33,76071.15
Blue Collar,41,20K,Male,Scotland,41,21536.61
White Collar,30,40K,Male,Northern Ireland,30,41273.45
Blue Collar,39,0K,Male,Northern Ireland,39,2838.91
Blue Collar,36,10K,Female,England,36,10303.92
White Collar,40,15K,Male,England,40,15488.15
White Collar,23,15K,Female,England,23,17253.97
Other,26,20K,Male,England,26,22143.77
Blue Collar,35,0K,Male,England,35,1760.36
White Collar,51,25K,Female,England,51,28034.11
Blue Collar,48,15K,Female,Scotland,48,18739.74
Blue Collar,59,30K,Male,Scotland,59,34640.4
Other,43,55K,Male,Scotland,43,57551.21
Other,54,15K,Female,Scotland,54,18720.84
White Collar,52,25K,Male,Scotland,52,29971.21
Other,52,5K,Male,Scotland,52,6967.51
Blue Collar,46,130K,Male,Scotland,46,131848.63
Blue Collar,57,25K,Male,Scotland,57,26601.44
Other,42,45K,Female,Scotland,42,48457.47
White Collar,39,80K,Female,Wales,39,83260.18
Other,20,0K,Female,Wales,20,1291.01
Other,45,60K,Female,Wales,45,64149.12
Blue Collar,38,60K,Male,Wales,38,64271.06
White Collar,27,10K,Male,Northern Ireland,27,14890.26
White Collar,35,25K,Female,Northern Ireland,35,27867.83
Other,23,55K,Female,Northern Ireland,23,58442.19
Other,32,35K,Male,Northern Ireland,32,36854.57
White Collar,33,65K,Male,Northern Ireland,33,66642.91
White Collar,37,100K,Male,England,37,101697.71
White Collar,33,30K,Female,England,33,30862.64
White Collar,31,35K,Female,England,31,36911.96
White Collar,33,5K,Female,England,33,9069.47
Other,43,40K,Male,Scotland,43,41525.24
Blue Collar,45,25K,Male,Scotland,45,25671.22
Blue Collar,48,70K,Female,Scotland,48,74211.7
White Collar,53,15K,Male,Scotland,53,19032.02
Other,47,15K,Male,Scotland,47,18970.24
Blue Collar,39,5K,Male,Scotland,39,6572.36
White Collar,54,70K,Male,Scotland,54,72492.49
Blue Collar,53,15K,Male,Scotland,53,19641.85
White Collar,19,30K,Female,Wales,19,30972.98
Other,35,35K,Female,Northern Ireland,35,38769.69
White Collar,41,80K,Male,England,41,80877.94
Other,58,70K,Female,Scotland,58,71689.7
Blue Collar,46,10K,Male,Scotland,46,14557.62
Blue Collar,50,15K,Male,Scotland,50,18144.44
Blue Collar,49,125K,Male,Scotland,49,127883.17
White Collar,41,70K,Male,Wales,41,74390.3
White Collar,40,5K,Male,Wales,40,8257.16
Other,41,20K,Female,Wales,41,21688.92
White Collar,26,5K,Female,Northern Ireland,26,5789.63
Blue Collar,37,5K,Female,England,37,9178.75
Other,42,35K,Female,England,42,36354.73
Other,32,40K,Female,England,32,44609.05
White Collar,42,45K,Female,England,42,47360.61
White Collar,18,55K,Female,England,18,58142.21
Blue Collar,51,0K,Male,Scotland,51,920.31
White Collar,51,15K,Male,Scotland,51,16320.71
Blue Collar,42,35K,Male,Scotland,42,35821.21
Blue Collar,53,15K,Male,Scotland,53,15708.72
Blue Collar,51,85K,Male,Scotland,51,85973.68
Other,47,15K,Female,Scotland,47,15438.53
White Collar,31,50K,Female,Wales,31,54685.83
White Collar,27,35K,Male,Wales,27,36638.21
Blue Collar,51,40K,Female,Wales,51,40918.08
White Collar,57,45K,Female,Wales,57,45944.18
Other,20,0K,Female,Northern Ireland,20,4672.75
Other,35,60K,Male,Northern Ireland,35,63602.12
White Collar,26,90K,Female,Northern Ireland,26,93357.28
Other,29,20K,Female,Northern Ireland,29,23358.95
Other,37,5K,Female,Northern Ireland,37,6456.6
Blue Collar,35,60K,Female,England,35,64233.87
White Collar,19,70K,Male,England,19,70407.91
White Collar,42,25K,Female,England,42,29385.08
Blue Collar,23,25K,Female,England,23,27124.28
White Collar,41,30K,Male,Scotland,41,33345.11
Blue Collar,50,90K,Male,Scotland,50,92328.66
White Collar,31,145K,Male,Wales,31,145995.97
Blue Collar,23,55K,Male,Wales,23,56584.82
Other,40,55K,Female,Wales,40,57702.39
White Collar,32,40K,Female,Wales,32,43353.84
Other,30,30K,Female,Wales,30,34170.61
White Collar,24,50K,Female,Wales,24,51952.49
White Collar,36,70K,Female,Wales,36,73513.79
White Collar,23,50K,Female,Wales,23,51109.71
Blue Collar,53,5K,Male,Scotland,53,9531.85
Other,56,20K,Female,Scotland,56,20740.75
Blue Collar,62,5K,Male,Scotland,62,6273.93
Blue Collar,46,0K,Male,Scotland,46,399.51
Blue Collar,47,15K,Male,Scotland,47,18486.67
Other,50,10K,Female,Scotland,50,12726.77
Blue Collar,44,60K,Male,Scotland,44,61035.44
Blue Collar,23,80K,Female,Wales,23,80752.64
Other,31,120K,Female,Northern Ireland,31,121133.06
Blue Collar,30,5K,Female,Northern Ireland,30,6133.35
White Collar,31,55K,Female,England,31,57538.47
White Collar,35,45K,Female,England,35,46422.42
White Collar,29,70K,Male,England,29,73217.9
Blue Collar,36,85K,Female,England,36,88072.23
Blue Collar,24,10K,Female,England,24,10816.33
White Collar,40,5K,Female,England,40,7924.91
Other,63,10K,Female,Scotland,63,10013.03
Other,55,35K,Male,Scotland,55,35657.25
Blue Collar,34,0K,Female,Wales,34,2872.93
Other,35,5K,Male,Wales,35,7709.87
White Collar,38,40K,Female,Wales,38,40078.58
Blue Collar,33,50K,Female,Wales,33,53715.28
Other,26,30K,Female,Northern Ireland,26,32940.49
Other,38,10K,Female,Northern Ireland,38,14606.14
Other,38,25K,Female,Northern Ireland,38,28388.7
Other,23,20K,Female,Northern Ireland,23,21191.04
Other,42,25K,Female,England,42,26577.07
White Collar,34,15K,Female,England,34,15376.5
Other,34,45K,Male,England,34,46243.31
White Collar,30,65K,Female,England,30,65904.54
White Collar,27,20K,Male,England,27,23502.2
Blue Collar,52,75K,Female,England,52,76378.23
White Collar,27,10K,Male,England,27,12420.86
Other,31,20K,Female,England,31,21282.52
White Collar,36,5K,Female,England,36,7483.28
White Collar,26,25K,Female,England,26,27284.36
White Collar,35,65K,Male,England,35,66567.28
White Collar,39,70K,Female,England,39,73357.86
Other,34,35K,Female,England,34,35679.31
White Collar,31,75K,Male,England,31,79744.7
White Collar,51,70K,Male,England,51,72742.52
White Collar,35,45K,Male,England,35,45176.14
Other,25,5K,Male,England,25,8518.46
White Collar,20,0K,Male,England,20,3115.49
White Collar,26,55K,Female,England,26,55006.43
Other,43,80K,Female,England,43,82248.75
Blue Collar,33,125K,Male,England,33,126150.99
Other,47,40K,Male,Scotland,47,44263.92
Other,52,20K,Male,Scotland,52,22436.69
Blue Collar,46,10K,Male,Scotland,46,14605.89
Blue Collar,42,20K,Female,Scotland,42,24087.99
Other,56,45K,Female,Scotland,56,46034.1
Blue Collar,44,60K,Male,Scotland,44,60464.54
Other,58,50K,Male,Scotland,58,54739.91
Blue Collar,44,5K,Male,Scotland,44,6498.08
Blue Collar,51,40K,Male,Scotland,51,43526.55
Blue Collar,46,25K,Male,Scotland,46,26094.73
Blue Collar,43,60K,Male,Scotland,43,64483.09
Blue Collar,53,35K,Male,Scotland,53,35898.96
Blue Collar,41,50K,Male,Scotland,41,52388.41
White Collar,27,95K,Female,Wales,27,98541.75
Other,33,30K,Female,Wales,33,33373.82
White Collar,39,40K,Female,Wales,39,40637.13
